Regular pos:

15 26269463
14 27983146
16 29476463
13 32161870
9 40836237
12 42046415
10 42614105
11 43968439
19 18786644
7 50903409
8 48948323
18 25274987
17 25241363
21 12140403
20 20334875
6 52628874
5 57086072
22 12669298
3 63183399
4 60967475
1 72716785
2 77463410

FHS_c1:

16 69397
15 78075
14 91135
11 98238
13 121056
12 118118
18 66769
17 77420
20 53269
22 34293
19 67531
21 58288
10 4309315
9 40836237
8 48948323
7 50903409
6 52628874
5 57086072
4 60967475
3 63183399
1 72716785
2 77463410

